,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,MOT Expires,Ultra Low Emission Zone  ,Tax,Price,Previous Keepers
37,500X,Petrol,1.4L,Manual,"64,238 miles",5,140 bhp,2015 (15),47.1,Hatchback,139 g/km,Fashion Grey metallic,14-10-2022,Euro 6,£199,"£9,200",
38,500,Petrol,1.2L,Manual,"16,552 miles",3,69 bhp,2018 (18),60.1,Hatchback,110 g/km,GREY,10-05-2022,Euro 6,£199,"£9,100",1.0
39,500,Petrol,1.2L,Manual,"27,535 miles",3,68 bhp,2018 (68),49.6,Hatchback,115 g/km,WHITE,08-08-2022,Euro 6,£199,"£9,000",1.0
40,500,Petrol,1.2L,Manual,"18,725 miles",3,68 bhp,2018 (18),49.6,Hatchback,115 g/km,Tech House Grey pastel,15-08-2022,Euro 6,£199,"£9,000",1.0
41,500,Petrol,1.2L,Manual,"12,230 miles",3,68 bhp,2018 (68),46.3,Hatchback,123 g/km,Pasodoble Red special pastel,28-09-2022,Euro 6,£199,"£9,000",1.0
42,500,Petrol,1.2L,Manual,"7,054 miles",3,68 bhp,2019 (19),49.6,Hatchback,115 g/km,BLACK,22-08-2022,Euro 6,£199,"£9,000",1.0
43,500,Petrol,1.2L,Manual,"15,939 miles",3,68 bhp,2018 (68),49.6,Hatchback,115 g/km,GREY,,Euro 6,£199,"£9,000",1.0
44,500,Petrol,1.2L,Manual,"8,097 miles",3,69 bhp,2017 (67),60.1,Hatchback,110 g/km,Avantgarde Bordeaux Metallic,,Euro 6,£199,"£8,800",1.0
45,500X,Petrol,1.6L,Manual,"52,403 miles",5,108 bhp,2016 (16),47.1,Hatchback,139 g/km,RED,21-01-2022,Euro 6,£199,"£8,800",2.0
46,500,Petrol,1.2L,Manual,"28,862 miles",3,68 bhp,2018 (68),49.6,Hatchback,115 g/km,GREY,24-09-2022,Euro 6,£199,"£8,700",1.0
47,500X,Diesel,1.2L,Manual,"51,258 miles",5,94 bhp,2016 (16),68.9,Hatchback,107 g/km,BLACK,08-01-2022,Euro 6,£199,"£8,600",
48,500,Petrol,1.2L,Manual,"24,162 miles",3,69 bhp,2017 (67),60.1,Hatchback,110 g/km,WHITE,14-11-2021,Euro 6,£199,"£8,600",1.0
