,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,Body Type,CO2,Colour,MPG,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Interior Trim,Euro Status
0,Tiguan,Petrol,2.0L,Automatic,"4,255 miles",5,227 bhp,2020 (69),Estate,175 g/km,INDIUM GREY,30.4,1.0,Euro 6,£199,"£33,700",,,
1,Golf,Petrol,2.0L,Automatic,"11,596 miles",5,296 bhp,2019 (69),Hatchback,164 g/km,PURE WHITE,32.8,1.0,Euro 6,£199,"£33,000",,,
2,Golf,Petrol,2.0L,Automatic,"5,101 miles",5,296 bhp,2019 (69),Hatchback,164 g/km,INDIUM GREY,32.8,1.0,Euro 6,£199,"£32,000",,,
3,Golf,Petrol,2.0L,Automatic,"14,953 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,GREY,32.8,1.0,Euro 6,£199,"£32,000",,,
4,Golf,Petrol,2.0L,Automatic,"14,122 miles",5,296 bhp,2019 (69),Hatchback,164 g/km,WHITE,32.8,1.0,Euro 6,£199,"£31,000",,,
5,Golf,Petrol,2.0L,Automatic,"5,710 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,INDIUM GREY,32.8,1.0,Euro 6,£199,"£31,000",02-11-2022,,
6,Golf,Petrol,2.0L,Automatic,"11,792 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,BLACK,32.8,1.0,Euro 6,£199,"£31,000",,,
7,Golf,Petrol,2.0L,Automatic,"12,585 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,INDIUM GREY,32.8,1.0,Euro 6,£199,"£30,500",26-10-2022,,
8,Golf,Petrol,2.0L,Automatic,"10,347 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,PURE WHITE,32.8,1.0,Euro 6,£199,"£30,500",,,
9,Golf,Petrol,2.0L,Automatic,"14,865 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,INDIUM GREY,32.8,1.0,Euro 6,£199,"£30,500",,,
10,Golf,Petrol,2.0L,Automatic,"12,474 miles",5,296 bhp,2019 (69),Hatchback,164 g/km,INDIUM GREY,32.8,1.0,Euro 6,£199,"£30,500",,,
11,Golf,Petrol,2.0L,Automatic,"10,909 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,GREY,32.8,1.0,Euro 6,£199,"£30,500",,,
12,Tiguan,Petrol,1.5L,Manual,"14,652 miles",5,148 bhp,2020 (69),Estate,138 g/km,GREY,37.2,1.0,Euro 6,£199,"£30,300",,,
13,Golf,Petrol,2.0L,Automatic,"15,736 miles",5,296 bhp,2019 (69),Hatchback,164 g/km,WHITE,32.8,1.0,Euro 6,£199,"£30,200",,,
14,Touareg,Diesel,3.0L,Automatic,"41,095 miles",5,259 bhp,2017 (67),Estate,174 g/km,GREY,42.8,2.0,Euro 6,£199,"£30,200",30-09-2022,,
15,Golf,Petrol,2.0L,Automatic,"14,683 miles",3,296 bhp,2019 (19),Hatchback,160 g/km,WHITE,32.8,1.0,Euro 6,£199,"£30,100",,,
16,Golf,Petrol,2.0L,Automatic,"10,581 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,BLUE,32.8,1.0,Euro 6,£199,"£30,000",,,
17,Golf,Petrol,2.0L,Automatic,"9,793 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,INDIUM GREY,32.8,1.0,Euro 6,£199,"£30,000",,,
18,Golf,Petrol,2.0L,Automatic,"15,718 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,BLACK,32.8,1.0,Euro 6,£199,"£30,000",13-09-2022,,
19,Golf,Petrol,2.0L,Automatic,"15,895 miles",5,296 bhp,2019 (69),Hatchback,164 g/km,WHITE,32.8,1.0,Euro 6,£199,"£30,000",,,
20,Golf,Petrol,2.0L,Automatic,"13,394 miles",3,296 bhp,2019 (19),Hatchback,160 g/km,PURE WHITE,32.8,1.0,Euro 6,£199,"£30,000",,,
21,Golf,Petrol,2.0L,Automatic,"12,189 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,SILVER,32.8,1.0,Euro 6,£199,"£30,000",,,
22,Golf,Petrol,2.0L,Automatic,"13,500 miles",5,296 bhp,2019 (69),Hatchback,164 g/km,LAPIZ BLUE,32.8,1.0,Euro 6,£199,"£29,500",,,
23,Golf,Petrol,2.0L,Automatic,"20,079 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,INDIUM GREY,32.8,1.0,Euro 6,£199,"£29,500",,,
24,Golf,Petrol,2.0L,Automatic,"13,558 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,GREY,32.8,1.0,Euro 6,£199,"£29,500",,,
25,Golf,Petrol,2.0L,Automatic,"22,505 miles",5,296 bhp,2019 (69),Hatchback,164 g/km,PURE WHITE,32.8,1.0,Euro 6,£199,"£29,500",,,
26,Golf,Petrol,2.0L,Automatic,"8,097 miles",5,296 bhp,2019 (19),Hatchback,164 g/km,BLACK,32.8,1.0,Euro 6,£199,"£29,300",,,
27,Golf,Petrol,2.0L,Automatic,"14,387 miles",5,296 bhp,2019 (69),Hatchback,164 g/km,Lapiz Blue Metallic,32.8,1.0,Euro 6,£199,"£29,000",,,
