,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Euro Status
259,Cla Class,Petrol,1.6L,Automatic,"29,763 miles",4,121 bhp,2016 (66),53.3,Saloon,122 g/km,COSMOS BLACK,2.0,Euro 6,£199,"£20,600",23-02-2022,
260,Cla Class,Petrol,1.6L,Manual,"24,277 miles",5,121 bhp,2018 (68),48.7,Estate,134 g/km,WHITE,1.0,Euro 6,£199,"£20,550",,
261,C Class,Petrol,2.0L,Automatic,"39,269 miles",5,184 bhp,2018 (18),49.6,Estate,128 g/km,GREY,1.0,Euro 6,£199,"£20,500",26-04-2022,
262,C Class,Diesel,2.1L,Automatic,"21,121 miles",2,168 bhp,2016 (16),68.9,Coupe,106 g/km,BLACK,,Euro 6,£199,"£20,500",02-11-2021,
263,Gla Class,Diesel,2.1L,Automatic,"54,496 miles",5,134 bhp,2017 (67),67.3,Estate,108 g/km,GREY,2.0,Euro 6,£199,"£20,500",06-06-2022,
264,C Class,Diesel,2.1L,Automatic,"51,550 miles",2,201 bhp,2016 (16),65.7,Coupe,112 g/km,WHITE,2.0,Euro 6,£199,"£20,500",29-09-2022,
265,C Class,Diesel,2.1L,Automatic,"22,286 miles",4,170 bhp,2017 (17),61.4,Saloon,117 g/km,SILVER,2.0,Euro 6,£199,"£20,500",04-09-2022,
266,Gla Class,Petrol,1.6L,Manual,"39,979 miles",5,154 bhp,2018 (18),48.7,Estate,134 g/km,WHITE,1.0,Euro 6,£199,"£20,500",09-08-2022,
267,A Class,Petrol,1.6L,Automatic,"20,710 miles",5,121 bhp,2018 (18),52.3,Hatchback,126 g/km,BLACK,2.0,Euro 6,£199,"£20,500",30-06-2022,
268,Gla Class,Petrol,1.6L,Manual,"38,431 miles",5,154 bhp,2018 (68),48.7,Estate,134 g/km,GREY,1.0,Euro 6,£199,"£20,500",,
269,Gla Class,Diesel,2.1L,Manual,"22,455 miles",5,134 bhp,2018 (18),64.2,Estate,115 g/km,BLACK,1.0,Euro 6,£199,"£20,500",30-03-2022,
270,C Class,Diesel,2.1L,Automatic,"48,998 miles",5,170 bhp,2017 (17),61.4,Estate,118 g/km,BLACK,2.0,Euro 6,£199,"£20,500",,
271,C Class,Diesel,2.1L,Automatic,"39,191 miles",2,168 bhp,2016 (66),67.3,Coupe,109 g/km,SILVER,1.0,Euro 6,£199,"£20,500",15-09-2022,
272,C Class,Hybrid Petrol,2.0L,Automatic,"58,138 miles",5,,2018 (18),,Estate,49 g/km,BLACK,1.0,Euro 6,£199,"£20,400",12-08-2022,
273,C Class,Diesel,2.1L,Automatic,"73,571 miles",2,201 bhp,2016 (66),65.7,Coupe,112 g/km,BLUE,2.0,Euro 6,£199,"£20,400",25-10-2022,
274,A Class,Diesel,1.5L,Automatic,"21,728 miles",5,114 bhp,2018 (68),65.7,Hatchback,111 g/km,WHITE,1.0,Euro 6,£199,"£20,400",,
275,Gla Class,Petrol,1.6L,Manual,"50,171 miles",5,154 bhp,2018 (68),48.7,Estate,134 g/km,SILVER,1.0,Euro 6,£199,"£20,300",09-06-2022,
276,Gla Class,Diesel,2.1L,Automatic,"35,909 miles",5,174 bhp,2016 (16),56.5,Estate,130 g/km,SILVER,2.0,Euro 6,£199,"£20,300",25-03-2022,
277,C Class,Diesel,2.1L,Automatic,"40,748 miles",4,170 bhp,2018 (18),61.4,Saloon,117 g/km,SILVER,2.0,Euro 6,£199,"£20,250",10-05-2022,
278,C Class,Diesel,2.1L,Automatic,"41,133 miles",4,170 bhp,2016 (66),64.2,Saloon,113 g/km,BLUE,2.0,Euro 6,£199,"£20,250",28-09-2022,
279,C Class,Diesel,2.1L,Automatic,"34,608 miles",5,170 bhp,2017 (67),64.2,Estate,114 g/km,BLACK,1.0,Euro 6,£199,"£20,250",06-10-2022,
