,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires
16,Sportage,Diesel,1.7L,Manual,"45,266 miles",5,114 bhp,2018 (18),61.4,Estate,119 g/km,BLACK,1.0,Euro 6,£199,"£18,400",18-05-2022
17,Sportage,Diesel,1.7L,Manual,"49,724 miles",5,114 bhp,2017 (67),61.4,Estate,119 g/km,BLACK,,Euro 6,£199,"£17,900",28-09-2022
18,Sportage,Diesel,1.7L,Manual,"30,825 miles",5,114 bhp,2016 (66),61.4,Estate,119 g/km,WHITE,1.0,Euro 6,£199,"£17,900",23-09-2022
19,Sportage,Diesel,2.0L,Manual,"39,429 miles",5,134 bhp,2017 (66),54.3,Estate,139 g/km,SILVER,2.0,Euro 6,£199,"£17,800",22-01-2022
20,Sportage,Diesel,1.7L,Manual,"39,438 miles",5,114 bhp,2017 (67),61.4,Estate,119 g/km,BLACK,1.0,Euro 6,£199,"£17,600",
21,Sportage,Petrol,1.6L,Manual,"30,670 miles",5,130 bhp,2018 (68),34.9,Estate,162 g/km,BLACK,1.0,Euro 6,£199,"£17,600",14-09-2022
22,Sportage,Diesel,1.7L,Manual,"28,912 miles",5,114 bhp,2017 (67),61.4,Estate,119 g/km,BLACK,1.0,Euro 6,£199,"£17,500",20-08-2022
23,Sportage,Petrol,1.6L,Manual,"41,689 miles",5,130 bhp,2019 (19),34.9,Estate,156 g/km,RED,1.0,Euro 6,£199,"£17,400",
24,Sportage,Diesel,1.7L,Manual,"22,760 miles",5,114 bhp,2018 (68),61.4,Estate,119 g/km,SILVER,2.0,Euro 6,£199,"£17,250",31-08-2022
25,Sportage,Petrol,1.6L,Manual,"37,312 miles",5,130 bhp,2018 (18),34.9,Estate,162 g/km,GREY,1.0,Euro 6,£199,"£17,200",31-05-2022
26,Sportage,Petrol,1.6L,Manual,"40,425 miles",5,130 bhp,2018 (68),34.9,Estate,162 g/km,BLACK,1.0,Euro 6,£199,"£17,200",29-09-2022
27,Sportage,Diesel,1.7L,Automatic,"47,526 miles",5,139 bhp,2017 (67),57.7,Estate,129 g/km,BLUE,1.0,Euro 6,£199,"£17,100",23-10-2022
28,Sportage,Petrol,1.6L,Manual,"38,374 miles",5,130 bhp,2018 (68),34.9,Estate,162 g/km,BLACK,1.0,Euro 6,£199,"£17,000",17-10-2022
29,Sportage,Petrol,1.6L,Manual,"52,909 miles",5,130 bhp,2018 (68),34.9,Estate,162 g/km,RED,1.0,Euro 6,£199,"£16,900",20-09-2022
30,Sportage,Petrol,1.6L,Manual,"33,102 miles",5,130 bhp,2017 (66),44.8,Estate,147 g/km,BLUE,,Euro 6,£199,"£16,100",08-02-2022
31,Sportage,Petrol,1.6L,Manual,"61,253 miles",5,130 bhp,2018 (18),34.9,Estate,162 g/km,RED,1.0,Euro 6,£199,"£16,000",04-07-2022
32,Sportage,Diesel,2.0L,Manual,"60,404 miles",5,134 bhp,2016 (16),54.3,Estate,139 g/km,SILVER,2.0,Euro 6,£199,"£15,900",10-02-2022
33,Sportage,Petrol,1.6L,Manual,"38,911 miles",5,130 bhp,2018 (18),44.8,Estate,147 g/km,SILVER,2.0,Euro 6,£199,"£15,900",28-06-2022
34,Stonic,Petrol,1.0L,Manual,"19,650 miles",5,118 bhp,2019 (19),47.1,Hatchback,130 g/km,YELLOW,1.0,Euro 6,£199,"£15,900",
35,Sportage,Diesel,1.7L,Manual,"25,739 miles",5,114 bhp,2016 (16),61.4,Estate,119 g/km,BLACK,1.0,Euro 6,£199,"£15,800",19-07-2022
36,Optima,Diesel,1.6L,Manual,"34,148 miles",5,134 bhp,2018 (68),52.3,Estate,121 g/km,SILVER,1.0,Euro 6,£199,"£15,600",14-09-2022
37,Sportage,Diesel,1.7L,Manual,"52,015 miles",5,114 bhp,2017 (67),61.4,Estate,119 g/km,RED,1.0,Euro 6,£199,"£15,500",14-10-2022
38,Sportage,Diesel,1.7L,Manual,"73,501 miles",5,114 bhp,2018 (68),61.4,Estate,119 g/km,RED,1.0,Euro 6,£199,"£15,500",
39,Sportage,Diesel,2.0L,Manual,"57,995 miles",5,134 bhp,2016 (66),54.3,Estate,139 g/km,RED,2.0,Euro 6,£199,"£15,500",11-10-2022
40,Sportage,Diesel,1.7L,Manual,"27,461 miles",5,114 bhp,2018 (68),61.4,Estate,119 g/km,WHITE,1.0,Euro 6,£199,"£15,500",09-09-2022
41,Sportage,Diesel,1.7L,Manual,"70,307 miles",5,114 bhp,2018 (18),61.4,Estate,119 g/km,WHITE,1.0,Euro 6,£199,"£15,300",14-03-2022
42,Sportage,Diesel,1.7L,Manual,"57,987 miles",5,114 bhp,2017 (17),61.4,Estate,119 g/km,WHITE,2.0,Euro 6,£199,"£15,200",30-04-2022
43,Sportage,Petrol,1.6L,Manual,"20,865 miles",5,130 bhp,2016 (16),44.8,Estate,147 g/km,SILVER,1.0,Euro 6,£199,"£15,000",05-11-2021
44,Sportage,Petrol,1.6L,Manual,"41,290 miles",5,130 bhp,2018 (68),35.3,Estate,162 g/km,BROWN,1.0,Euro 6,£199,"£15,000",25-10-2022
45,Sportage,Diesel,1.7L,Manual,"49,768 miles",5,114 bhp,2017 (67),61.4,Estate,119 g/km,BRONZE,,Euro 6,£199,"£13,100",10-09-2022
46,Sportage,Petrol,1.6L,Manual,"41,979 miles",5,130 bhp,2016 (66),42.2,Estate,156 g/km,BLACK,,Euro 6,£199,"£12,900",28-02-2022
47,Sportage,Petrol,1.6L,Manual,"27,262 miles",5,130 bhp,2016 (66),42.2,Estate,156 g/km,SILVER,2.0,Euro 6,£199,"£12,750",18-10-2021
48,Ceed,Petrol,1.0L,Manual,"33,927 miles",5,118 bhp,2019 (19),50.4,Hatchback,115 g/km,BLACK,2.0,Euro 6,£199,"£12,700",
49,Sportage,Diesel,1.7L,Manual,"71,135 miles",5,114 bhp,2017 (67),61.4,Estate,119 g/km,WHITE,2.0,Euro 6,£199,"£11,250",29-09-2022
50,Picanto,Petrol,1.0L,Manual,"11,514 miles",5,66 bhp,2018 (68),64.2,Hatchback,101 g/km,BLUE,1.0,Euro 6,£199,"£8,400",
51,Picanto,Petrol,1.2L,Manual,"29,296 miles",5,82 bhp,2018 (67),61.4,Hatchback,106 g/km,BLUE,1.0,Euro 6,£199,"£8,238",
