,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Interior Trim,Euro Status
121,Mondeo,Petrol,1.5L,Manual,"51,744 miles",5,158 bhp,2017 (17),48.7,Hatchback,134 g/km,BLACK,1.0,Euro 6,£199,"£12,400",28-08-2022,,
122,Fiesta,Petrol,1.0L,Manual,"40,590 miles",5,99 bhp,2019 (68),49.6,Hatchback,110 g/km,BLACK,1.0,Euro 6,£199,"£12,100",,,
123,Focus,Diesel,2.0L,Automatic,"42,595 miles",5,148 bhp,2015 (15),64.2,Hatchback,115 g/km,GREY,,Euro 6,£199,"£12,100",28-02-2022,,
124,Fiesta,Petrol,1.1L,Manual,"15,576 miles",5,85 bhp,2018 (68),48.7,Hatchback,114 g/km,WHITE,2.0,Euro 6,£199,"£12,100",,,
125,Fiesta,Petrol,1.0L,Manual,"23,464 miles",5,99 bhp,2018 (68),49.6,Hatchback,110 g/km,RACE RED,1.0,Euro 6,£199,"£12,100",13-07-2022,,
126,Fiesta,Petrol,1.1L,Manual,"9,057 miles",5,,2018 (68),,Hatchback,114 g/km,BRONZE,1.0,,£199,"£12,000",07-10-2022,,
127,Fiesta,Petrol,1.0L,Manual,"25,213 miles",5,99 bhp,2018 (68),49.6,Hatchback,110 g/km,RED,1.0,Euro 6,£199,"£12,000",28-10-2022,,
128,Focus,Petrol,1.6L,Automatic,"24,145 miles",5,123 bhp,2015 (65),44.8,Hatchback,146 g/km,WHITE,2.0,Euro 6,£199,"£11,600",29-01-2022,,
129,Focus,Petrol,1.0L,Manual,"41,726 miles",5,123 bhp,2018 (18),60.1,Hatchback,108 g/km,RACE BLUE,1.0,Euro 6,£199,"£11,500",22-08-2022,,
130,Fiesta,Diesel,1.5L,Manual,"26,719 miles",5,85 bhp,2017 (67),85.6,Hatchback,84 g/km,GREY,1.0,Euro 6,£199,"£11,500",31-03-2022,,
131,Kuga,Diesel,2.0L,Manual,"47,339 miles",5,148 bhp,2015 (15),60.1,Hatchback,122 g/km,BLACK,2.0,Euro 6,£199,"£11,200",,,
132,Focus,Petrol,1.0L,Manual,"46,461 miles",5,123 bhp,2018 (18),60.1,Hatchback,108 g/km,WHITE,2.0,Euro 6,£199,"£11,100",23-05-2022,,
133,Fiesta,Petrol,1.0L,Manual,"25,012 miles",3,138 bhp,2017 (17),62.8,Hatchback,104 g/km,BLACK,2.0,Euro 6,£199,"£11,000",07-07-2022,,
134,Focus,Diesel,1.5L,Manual,"60,485 miles",5,118 bhp,2017 (67),74.3,Estate,99 g/km,GREY,1.0,Euro 6,£199,"£11,000",03-09-2022,,
135,Focus,Diesel,1.5L,Manual,"48,537 miles",5,118 bhp,2017 (17),74.3,Estate,99 g/km,BLUE,1.0,Euro 6,£199,"£11,000",14-08-2022,,
136,Ecosport,Diesel,1.5L,Manual,"32,374 miles",5,94 bhp,2017 (67),64.2,Hatchback,115 g/km,MOONDUST SILVER,1.0,Euro 6,£199,"£10,900",11-10-2022,,
137,Kuga,Diesel,2.0L,Manual,"64,818 miles",5,148 bhp,2016 (16),60.1,Hatchback,122 g/km,ORANGE,1.0,Euro 6,£199,"£10,750",26-06-2022,,
138,Mondeo,Diesel,2.0L,Manual,"71,077 miles",5,148 bhp,2016 (16),68.9,Hatchback,107 g/km,GREY,1.0,Euro 6,£199,"£10,400",24-01-2022,,
139,Fiesta,Petrol,1.1L,Manual,"30,134 miles",5,85 bhp,2018 (18),64.2,Hatchback,101 g/km,BLUE,1.0,Euro 6,£199,"£10,300",11-05-2022,,
140,Ka+,Petrol,1.2L,Manual,"11,499 miles",5,84 bhp,2019 (68),47.9,Hatchback,114 g/km,BLACK,1.0,Euro 6,£199,"£10,200",,,
141,Focus,Diesel,1.5L,Automatic,"59,682 miles",5,118 bhp,2017 (66),67.3,Hatchback,109 g/km,BLUE,1.0,Euro 6,£199,"£10,100",09-01-2022,,
142,Ka+,Petrol,1.2L,Manual,"3,080 miles",5,69 bhp,2019 (69),48.7,Hatchback,117 g/km,GREY,1.0,Euro 6,£199,"£10,000",,,
143,Ka+,Petrol,1.2L,Manual,"11,111 miles",5,84 bhp,2018 (68),43.5,Hatchback,129 g/km,GREY,1.0,Euro 6,£199,"£10,000",,,
144,Focus,Petrol,1.0L,Manual,"44,034 miles",5,123 bhp,2016 (16),60.1,Hatchback,108 g/km,RED,2.0,Euro 6,£199,"£9,500",29-06-2022,,
145,Focus,Diesel,1.6L,Manual,"33,171 miles",5,114 bhp,2015 (15),67.3,Estate,109 g/km,WHITE,,,£199,"£9,400",21-06-2022,,Euro 5
146,Fiesta,Petrol,1.0L,Manual,"29,006 miles",3,138 bhp,2016 (16),62.8,Hatchback,104 g/km,BLACK,,Euro 6,£199,"£9,400",06-01-2022,,
147,C-Max,Diesel,1.5L,Manual,"30,598 miles",5,118 bhp,2015 (65),68.9,MPV,105 g/km,RED,2.0,Euro 6,£199,"£9,100",04-06-2022,,
148,Ecosport,Petrol,1.0L,Manual,"60,729 miles",5,123 bhp,2017 (17),52.3,Hatchback,125 g/km,BLUE,1.0,Euro 6,£199,"£8,900",29-06-2022,,
149,Fiesta,Petrol,1.0L,Manual,"50,240 miles",3,123 bhp,2017 (66),65.7,Hatchback,99 g/km,SILVER,,Euro 6,£199,"£8,800",22-01-2022,,
150,Fiesta,Petrol,1.0L,Manual,"44,538 miles",3,123 bhp,2016 (66),65.7,Hatchback,99 g/km,FROZEN WHITE,2.0,Euro 6,£199,"£8,700",30-12-2021,,
151,Ka+,Petrol,1.2L,Manual,"19,467 miles",5,68 bhp,2017 (67),57.7,Hatchback,114 g/km,BLUE,1.0,Euro 6,£199,"£8,600",26-08-2022,,
152,Focus,Diesel,1.5L,Manual,"73,904 miles",5,118 bhp,2016 (16),74.3,Estate,98 g/km,GREY,1.0,Euro 6,£199,"£8,300",15-08-2022,,
153,Fiesta,Petrol,1.0L,Manual,"50,002 miles",5,99 bhp,2017 (17),65.7,Hatchback,99 g/km,GREY,2.0,Euro 6,£199,"£8,100",03-03-2022,,
