,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Interior Trim,Euro Status
72,Fiesta,Petrol,1.0L,Manual,"20,189 miles",5,138 bhp,2018 (68),47.9,Hatchback,117 g/km,MAGNETIC GREY,1.0,Euro 6,£199,"£15,500",17-10-2022,,
73,Kuga,Diesel,1.5L,Manual,"57,284 miles",5,118 bhp,2017 (67),64.2,Hatchback,115 g/km,BLUE,1.0,Euro 6,£199,"£15,200",13-09-2022,,
74,Ecosport,Petrol,1.0L,Automatic,"22,520 miles",5,123 bhp,2018 (68),38.7,Hatchback,140 g/km,SHADOW BLACK ,1.0,Euro 6,£199,"£15,100",27-07-2022,,
75,Focus,Petrol,1.0L,Manual,"36,384 miles",5,123 bhp,2018 (68),48.7,Hatchback,111 g/km,WHITE,1.0,Euro 6,£199,"£15,000",22-08-2022,,
76,Focus,Petrol,1.0L,Manual,"17,913 miles",5,99 bhp,2019 (68),50.4,Hatchback,107 g/km,BLACK,1.0,Euro 6,£199,"£14,900",,,
77,Ecosport,Petrol,1.0L,Manual,"31,679 miles",5,99 bhp,2018 (68),43.5,Hatchback,120 g/km,RED,1.0,Euro 6,£199,"£14,700",04-08-2022,,
78,Fiesta,Petrol,1.0L,Manual,"22,981 miles",3,123 bhp,2018 (68),48.7,Hatchback,108 g/km,BLACK,1.0,Euro 6,£199,"£14,600",,,
79,C-Max,Petrol,1.0L,Manual,"30,696 miles",5,123 bhp,2018 (68),40.4,MPV,131 g/km,BLUE,1.0,Euro 6,£199,"£14,400",17-08-2022,,
80,Focus,Diesel,1.5L,Manual,"48,225 miles",5,118 bhp,2018 (68),74.3,Hatchback,99 g/km,BLUE,1.0,Euro 6,£199,"£14,300",05-10-2022,,
81,Focus,Diesel,2.0L,Manual,"82,534 miles",5,182 bhp,2017 (67),67.3,Hatchback,110 g/km,BLACK,1.0,Euro 6,£199,"£14,300",04-08-2022,,
