,Model,Fuel Type,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,Engine Size,CO2,MOT Expires,VAT Qualifying
123,Juke,Petrol,Manual,"36,479 miles",5,111 bhp,2019 (68),34.5,Hatchback,BLUE,1.0,Euro 6,£199,"£12,700",1.6L,161 g/km,,
124,Juke,Petrol,Manual,"36,657 miles",5,111 bhp,2019 (68),34.5,Hatchback,RED,1.0,Euro 6,£199,"£12,600",1.6L,161 g/km,31-10-2022,
125,Juke,Petrol,Manual,"17,640 miles",5,115 bhp,2018 (68),49.6,Hatchback,BLUE,1.0,Euro 6,£199,"£12,500",1.2L,128 g/km,04-10-2022,
126,Juke,Petrol,Manual,"40,336 miles",5,111 bhp,2019 (68),34.5,Hatchback,WHITE,1.0,Euro 6,£199,"£12,452",1.6L,161 g/km,,
127,Juke,Petrol,Manual,"41,201 miles",5,111 bhp,2019 (68),34.5,Hatchback,BLUE,1.0,Euro 6,£199,"£12,400",1.6L,161 g/km,,
128,Micra,Petrol,Manual,"4,420 miles",5,115 bhp,2020 (20),47.9,Hatchback,BLACK,2.0,Euro 6,£199,"£12,400",1.0L,114 g/km,,
129,Juke,Petrol,Manual,"36,505 miles",5,111 bhp,2019 (68),34.5,Hatchback,SILVER,1.0,Euro 6,£199,"£12,300",1.6L,161 g/km,14-10-2022,
130,Juke,Diesel,Manual,"28,844 miles",5,110 bhp,2018 (18),70.6,Hatchback,BLACK,2.0,Euro 6,£199,"£12,300",1.5L,104 g/km,30-07-2022,
131,Juke,Petrol,Manual,"42,317 miles",5,111 bhp,2019 (68),34.5,Hatchback,GREY,1.0,Euro 6,£199,"£12,300",1.6L,161 g/km,26-09-2022,
132,Juke,Petrol,Manual,"36,045 miles",5,111 bhp,2019 (68),34.5,Hatchback,BLUE,1.0,Euro 6,£199,"£12,200",1.6L,161 g/km,,
133,Juke,Petrol,Manual,"24,299 miles",5,115 bhp,2018 (68),49.6,Hatchback,WHITE,1.0,Euro 6,£199,"£12,100",1.2L,128 g/km,09-09-2022,
134,Juke,Petrol,Manual,"21,614 miles",5,111 bhp,2018 (68),34.5,Hatchback,BLUE,2.0,Euro 6,£199,"£12,000",1.6L,161 g/km,10-08-2022,
135,Juke,Diesel,Manual,"37,440 miles",5,110 bhp,2018 (67),70.6,Hatchback,GREY,1.0,Euro 6,£199,"£11,900",1.5L,104 g/km,,
136,Juke,Diesel,Manual,"34,588 miles",5,110 bhp,2018 (18),70.6,Hatchback,RED,1.0,Euro 6,£199,"£11,800",1.5L,104 g/km,05-07-2022,
137,Juke,Petrol,Manual,"16,887 miles",5,115 bhp,2017 (17),49.6,Hatchback,BLACK,2.0,Euro 6,£199,"£11,800",1.2L,128 g/km,19-12-2021,
138,Juke,Diesel,Manual,"37,400 miles",5,110 bhp,2018 (18),70.6,Hatchback,BLUE,1.0,Euro 6,£199,"£11,612",1.5L,104 g/km,21-08-2022,
139,Juke,Petrol,Manual,"46,557 miles",5,111 bhp,2019 (68),34.5,Hatchback,GREY,1.0,Euro 6,£199,"£11,600",1.6L,161 g/km,,
140,Juke,Diesel,Manual,"15,621 miles",5,110 bhp,2018 (18),70.6,Hatchback,BLUE,2.0,Euro 6,£199,"£11,500",1.5L,104 g/km,30-07-2022,
141,Juke,Petrol,Manual,"40,393 miles",5,111 bhp,2019 (68),34.5,Hatchback,GREY,1.0,Euro 6,£199,"£11,500",1.6L,161 g/km,15-09-2022,
142,Juke,Petrol,Manual,"24,340 miles",5,115 bhp,2017 (17),49.6,Hatchback,YELLOW,2.0,Euro 6,£199,"£11,400",1.2L,128 g/km,19-03-2022,
143,Juke,Petrol,Manual,"34,482 miles",5,111 bhp,2019 (68),34.5,Hatchback,RED,1.0,Euro 6,£199,"£11,400",1.6L,161 g/km,12-11-2022, 
144,Juke,Petrol,Manual,"31,578 miles",5,111 bhp,2019 (68),34.5,Hatchback,BLUE,1.0,Euro 6,£199,"£11,000",1.6L,161 g/km,17-08-2022,
145,Juke,Petrol,Manual,"43,657 miles",5,111 bhp,2019 (68),34.5,Hatchback,SILVER,1.0,Euro 6,£199,"£11,000",1.6L,161 g/km,31-08-2022,
146,Juke,Petrol,Manual,"31,839 miles",5,115 bhp,2017 (17),49.6,Hatchback,BLUE,,Euro 6,£199,"£10,900",1.2L,128 g/km,23-04-2022,
147,Qashqai,Petrol,Manual,"63,545 miles",5,113 bhp,2015 (15),50.4,Hatchback,RED,2.0,Euro 5,£199,"£10,700",1.2L,129 g/km,27-03-2022,
148,Juke,Diesel,Manual,"53,540 miles",5,110 bhp,2018 (18),70.6,Hatchback,GREY,1.0,Euro 6,£199,"£10,500",1.5L,104 g/km,05-09-2022,
149,Juke,Diesel,Manual,"35,797 miles",5,110 bhp,2018 (18),70.6,Hatchback,BLACK,2.0,Euro 6,£199,"£10,500",1.5L,104 g/km,30-07-2022,
150,Juke,Petrol,Manual,"50,717 miles",5,115 bhp,2017 (17),49.6,Hatchback,GREY,2.0,Euro 6,£199,"£10,300",1.2L,128 g/km,17-10-2022,
151,Juke,Petrol,Manual,"21,580 miles",5,115 bhp,2017 (17),49.6,Hatchback,RED,2.0,Euro 6,£199,"£9,900",1.2L,128 g/km,07-09-2022,
152,Juke,Diesel,Manual,"88,238 miles",5,110 bhp,2017 (67),70.6,Hatchback,GREY,1.0,Euro 6,£199,"£9,500",1.5L,104 g/km,30-11-2021,
153,Juke,Petrol,Manual,"47,056 miles",5,115 bhp,2016 (66),49.6,Hatchback,YELLOW,2.0,Euro 6,£199,"£9,000",1.2L,128 g/km,16-09-2021,
154,Juke,Diesel,Manual,"52,642 miles",5,110 bhp,2015 (65),70.6,Hatchback,BLACK,,Euro 6,£199,"£8,600",1.5L,104 g/km,13-08-2022,
155,Juke,Diesel,Manual,"71,198 miles",5,110 bhp,2016 (66),70.6,Hatchback,WHITE,1.0,Euro 6,£199,"£8,300",1.5L,104 g/km,17-12-2021,
156,Juke,Petrol,Manual,"60,566 miles",5,115 bhp,2015 (15),50.4,Hatchback,BLACK,,Euro 5,£199,"£7,800",1.2L,129 g/km,12-03-2022,
