,Model,Fuel Type,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,Engine Size,CO2,MOT Expires,VAT Qualifying
75,Qashqai,Petrol,Manual,"26,842 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£16,500",1.2L,129 g/km,23-05-2022,
76,Qashqai,Petrol,Manual,"19,951 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,2.0,Euro 6,£199,"£16,500",1.2L,129 g/km,28-06-2022,
77,Qashqai,Petrol,Manual,"27,377 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£16,500",1.2L,129 g/km,29-09-2022,
78,Qashqai,Diesel,Manual,"47,940 miles",5,108 bhp,2018 (68),74.3,Hatchback,BLUE,1.0,Euro 6,£199,"£16,500",1.5L,99 g/km,21-09-2022,
79,Qashqai,Diesel,Manual,"44,803 miles",5,114 bhp,2019 (68),52.3,Hatchback,GREY,1.0,Euro 6,£199,"£16,300",1.5L,110 g/km,,
80,X-Trail,Diesel,Manual,"39,369 miles",5,130 bhp,2017 (66),55.4,Estate,GREEN,2.0,Euro 6,£199,"£16,200",1.6L,133 g/km,07-01-2022,
81,Qashqai,Petrol,Automatic,"22,664 miles",5,113 bhp,2018 (67),50.4,Hatchback,BLUE,2.0,Euro 6,£199,"£16,200",1.2L,133 g/km,03-01-2022,
82,Qashqai,Diesel,Manual,"45,660 miles",5,108 bhp,2018 (18),74.3,Hatchback,BLACK,2.0,Euro 6,£199,"£16,100",1.5L,99 g/km,29-06-2022,
83,Qashqai,Petrol,Manual,"33,567 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£16,100",1.2L,129 g/km,03-09-2022,
84,Qashqai,Diesel,Manual,"44,957 miles",5,114 bhp,2018 (68),52.3,Hatchback,BLACK,1.0,Euro 6,£199,"£16,100",1.5L,110 g/km,29-09-2022,
85,Qashqai,Petrol,Manual,"49,148 miles",5,113 bhp,2018 (68),50.4,Hatchback,RED,1.0,Euro 6,£199,"£16,000",1.2L,129 g/km,,
86,Qashqai,Petrol,Manual,"12,992 miles",5,113 bhp,2017 (67),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£16,000",1.2L,129 g/km,07-09-2022,
87,Qashqai,Diesel,Manual,"46,413 miles",5,108 bhp,2018 (18),74.3,Hatchback,RED,1.0,Euro 6,£199,"£16,000",1.5L,99 g/km,07-06-2022,
88,Qashqai,Diesel,Manual,"52,220 miles",5,108 bhp,2018 (18),74.3,Hatchback,BLUE,1.0,Euro 6,£199,"£16,000",1.5L,99 g/km,06-05-2022,
