,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,Body Type,CO2,Colour,MPG,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Interior Trim
53,Mokka X,Petrol,1.4L,Automatic,"44,242 miles",5,138 bhp,2017 (17),Hatchback,149 g/km,RED,43.5,1.0,Euro 6,£199,"£12,700",29-06-2022,
54,Astra,Diesel,1.6L,Manual,"11,387 miles",5,108 bhp,2018 (18),Estate,96 g/km,SILVER,78.5,1.0,Euro 6,£199,"£12,600",30-08-2022,
55,Astra,Petrol,1.4L,Manual,"22,792 miles",5,148 bhp,2018 (68),Hatchback,128 g/km,GREY,51.4,1.0,Euro 6,£199,"£12,600",07-10-2022,
56,Mokka X,Petrol,1.4L,Manual,"24,109 miles",5,138 bhp,2017 (67),Hatchback,140 g/km,WHITE,47.1,2.0,Euro 6,£199,"£12,600",18-12-2021,
57,Astra,Diesel,1.6L,Manual,"28,684 miles",5,108 bhp,2018 (68),Estate,96 g/km,SILVER,78.5,1.0,Euro 6,£199,"£12,600",29-09-2022,
58,Astra,Petrol,1.6L,Manual,"23,613 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,COSMIC GREY,41.5,1.0,Euro 6,£199,"£12,500",29-09-2022,BLACK SIENA LEATHER
59,Insignia,Diesel,1.6L,Manual,"37,081 miles",5,109 bhp,2018 (68),Estate,121 g/km,BLUE,55.4,1.0,Euro 6,£199,"£12,500",06-10-2022,
60,Mokka X,Petrol,1.4L,Manual,"13,705 miles",5,138 bhp,2018 (18),Hatchback,140 g/km,GREY,47.1,1.0,Euro 6,£199,"£12,500",10-08-2022,
61,Astra,Petrol,1.4L,Manual,"27,765 miles",5,148 bhp,2017 (17),Hatchback,128 g/km,Flip Chip Silver metallic,51.4,2.0,Euro 6,£199,"£12,400",04-03-2022,BLACK SIENA LEATHER
62,Astra,Diesel,1.6L,Manual,"20,693 miles",5,108 bhp,2018 (18),Estate,96 g/km,BLUE,78.5,1.0,Euro 6,£199,"£12,400",25-10-2022,
63,Astra,Diesel,1.6L,Manual,"30,739 miles",5,134 bhp,2018 (68),Hatchback,118 g/km,MINERAL BLACK,58.9,1.0,Euro 6,£199,"£12,200",,
64,Astra,Diesel,1.6L,Automatic,"58,247 miles",5,134 bhp,2017 (67),Hatchback,119 g/km,BLACK,62.8,1.0,Euro 6,£199,"£12,000",26-08-2022,
65,Crossland X,Petrol,1.2L,Manual,"45,726 miles",5,82 bhp,2018 (68),Hatchback,117 g/km,BLUE,44.8,1.0,Euro 6,£199,"£12,000",21-10-2022,
66,Astra,Petrol,1.6L,Manual,"34,326 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,MINERAL BLACK,41.5,,Euro 6,£199,"£12,000",11-10-2022,
67,Crossland X,Petrol,1.2L,Manual,"28,837 miles",5,82 bhp,2018 (68),Hatchback,117 g/km,SILVER,44.8,2.0,Euro 6,£199,"£11,800",11-10-2022,
68,Mokka X,Petrol,1.4L,Manual,"30,703 miles",5,138 bhp,2016 (66),Hatchback,140 g/km,BLACK,47.1,2.0,Euro 6,£199,"£11,800",02-12-2021,
69,Insignia,Diesel,1.6L,Manual,"42,676 miles",5,108 bhp,2017 (67),Hatchback,105 g/km,BLACK,70.6,1.0,Euro 6,£199,"£11,750",23-09-2022,
70,Astra,Petrol,1.4L,Manual,"43,019 miles",5,,2018 (67),Hatchback,128 g/km,Black,,1.0,,£199,"£11,700",,
71,Mokka X,Petrol,1.4L,Manual,"49,250 miles",5,138 bhp,2016 (66),Hatchback,140 g/km,BLACK,47.1,1.0,Euro 6,£199,"£11,700",,
72,Mokka X,Petrol,1.4L,Manual,"41,269 miles",5,138 bhp,2017 (67),Hatchback,140 g/km,SILVER,47.1,2.0,Euro 6,£199,"£11,600",10-12-2021,
73,Astra,Petrol,1.4L,Manual,"20,046 miles",5,148 bhp,2017 (17),Hatchback,128 g/km,COSMIC GREY,51.4,1.0,Euro 6,£199,"£11,600",30-03-2022,
74,Mokka X,Petrol,1.6L,Manual,"17,878 miles",5,113 bhp,2017 (67),Hatchback,155 g/km,WHITE,42.2,2.0,Euro 6,£199,"£11,500",13-09-2022,
75,Insignia,Diesel,1.6L,Manual,"81,568 miles",5,108 bhp,2017 (67),Hatchback,105 g/km,BLACK,70.6,1.0,Euro 6,£199,"£11,400",16-11-2021,
76,Insignia,Diesel,1.6L,Manual,"42,734 miles",5,,2016 (66),Hatchback,109 g/km,Black,,,,£199,"£11,300",,
77,Astra,Petrol,1.4L,Manual,"38,669 miles",5,148 bhp,2018 (18),Hatchback,128 g/km,BLACK,51.4,1.0,Euro 6,£199,"£11,200",29-06-2022,
78,Astra,Petrol,1.4L,Manual,"44,323 miles",5,148 bhp,2018 (68),Hatchback,136 g/km,BLUE,45.6,1.0,Euro 6,£199,"£11,100",,
79,Astra,Diesel,1.6L,Manual,"34,143 miles",5,108 bhp,2018 (67),Estate,89 g/km,SILVER,83.1,1.0,Euro 6,£199,"£11,000",14-10-2022,
80,Astra,Petrol,1.4L,Automatic,"48,519 miles",5,148 bhp,2017 (17),Hatchback,127 g/km,RED,51.4,2.0,Euro 6,£199,"£11,000",29-10-2022,
81,Mokka X,Diesel,1.6L,Manual,"58,468 miles",5,108 bhp,2017 (17),Hatchback,103 g/km,BLUE,72.4,1.0,Euro 6,£199,"£10,900",23-03-2022,
82,Astra,Petrol,1.4L,Manual,"43,912 miles",5,148 bhp,2018 (67),Hatchback,128 g/km,BLACK,51.4,1.0,Euro 6,£199,"£10,800",22-01-2022,
83,Astra,Diesel,1.6L,Manual,"36,147 miles",5,108 bhp,2018 (18),Estate,96 g/km,Flip Chip Silver metallic,78.5,1.0,Euro 6,£199,"£10,700",30-08-2022,
84,Astra,Diesel,1.6L,Manual,"30,782 miles",5,108 bhp,2018 (18),Hatchback,88 g/km,GREY,85.6,1.0,Euro 6,£199,"£10,700",23-05-2022,
85,Astra,Petrol,1.4L,Manual,"29,340 miles",5,148 bhp,2017 (17),Hatchback,128 g/km,SILVER,51.4,2.0,Euro 6,£199,"£10,500",17-06-2022,
86,Astra,Diesel,1.6L,Manual,"50,481 miles",5,134 bhp,2016 (66),Hatchback,103 g/km,Flip Chip Silver metallic,72.4,2.0,Euro 6,£199,"£10,500",,
87,Astra,Petrol,1.4L,Manual,"37,705 miles",5,148 bhp,2017 (17),Hatchback,128 g/km,SUMMIT WHITE,51.4,2.0,Euro 6,£199,"£10,500",03-11-2022,
88,Astra,Diesel,1.6L,Manual,"39,975 miles",5,108 bhp,2017 (17),Estate,89 g/km,WHITE,83.1,1.0,Euro 6,£199,"£10,300",17-08-2022,
89,Astra,Diesel,1.6L,Manual,"41,835 miles",5,108 bhp,2017 (67),Hatchback,88 g/km,BLACK,85.6,1.0,Euro 6,£199,"£10,300",27-09-2022,
90,Mokka,Diesel,1.6L,Automatic,"40,305 miles",5,134 bhp,2015 (65),Hatchback,134 g/km,Deep Espresso metallic,55.4,2.0,Euro 6,£199,"£10,300",10-12-2021,
