,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Tax,Price,Body Type,CO2,MOT Expires
54,X4,Diesel,3.0L,Automatic,"27,573 miles",4,255 bhp,2016 (66),,£199,"£27,000",,,
55,3 Series,Petrol,2.0L,Automatic,"15,007 miles",4,181 bhp,2019 (69),,£199,"£26,900",,,
56,I3,Electric,,Automatic,"7,051 miles",5,168 bhp,2020 (20),1.0,£199,"£26,800",,,
57,2 Series,Petrol,2.0L,Automatic,"16,565 miles",2,181 bhp,2019 (19),,£199,"£26,700",,,
58,1 Series,Petrol,3.0L,Automatic,"15,550 miles",5,335 bhp,2018 (68),39.8,£199,"£26,600",,,
59,5 Series,Hybrid Petrol,2.0L,Automatic,"58,408 miles",4,248 bhp,2018 (68),,£199,"£26,600",,,
60,3 Series,Petrol,2.0L,Automatic,"26,457 miles",4,181 bhp,2019 (19),42.2,£199,"£26,500",,,
61,X3,Diesel,3.0L,Automatic,"42,646 miles",5,308 bhp,2016 (16),,£199,"£26,400",,,
62,1M,Petrol,3.0L,Automatic,"16,083 miles",5,335 bhp,2018 (68),,£199,"£26,400",,,
63,3 Series,Petrol,2.0L,Automatic,"29,011 miles",4,181 bhp,2019 (69),,£199,"£26,400",,,
64,1M,Petrol,3.0L,Automatic,"16,613 miles",5,335 bhp,2018 (68),,£199,"£26,300",,,
65,X5,Diesel,2.0L,Automatic,"65,911 miles",5,215 bhp,2015 (15),,£199,"£26,100",,,
66,X3,Diesel,2.0L,Automatic,"54,497 miles",5,188 bhp,2018 (68),,£199,"£26,100",,,
67,5 Series,Diesel,2.0L,Automatic,"42,692 miles",5,188 bhp,2018 (68),,£199,"£26,000",,,
68,X4,Diesel,3.0L,Automatic,"63,156 miles",4,255 bhp,2017 (66),,£199,"£25,900",,,
69,7 Series,Diesel,3.0L,Automatic,"54,108 miles",4,,2016 (16),,£199,"£25,900",Saloon,129 g/km,
70,1M,Petrol,3.0L,Automatic,"13,454 miles",5,335 bhp,2018 (18),,£199,"£25,900",,,
71,5 Series,Diesel,2.0L,Automatic,"24,938 miles",4,188 bhp,2018 (18),,£199,"£25,800",,,
72,5 Series,Diesel,2.0L,Automatic,"32,117 miles",5,188 bhp,2017 (17),62.8,£199,"£25,700",,,
73,X2,Diesel,2.0L,Automatic,"21,054 miles",5,187 bhp,2018 (18),58.9,£199,"£25,600",,,
74,6 Series,Diesel,3.0L,Automatic,"24,634 miles",2,308 bhp,2017 (67),,£199,"£25,500",,,
75,1 Series,Petrol,1.5L,Automatic,"33,641 miles",5,138 bhp,2020 (69),40.4,£199,"£25,400",,,
76,X4,Diesel,2.0L,Automatic,"40,588 miles",4,,2016 (66),,£199,"£25,300",Coupe,136 g/km,
77,X1,Diesel,2.0L,Automatic,"7,770 miles",5,187 bhp,2018 (18),,£199,"£25,200",,,
78,6 Series,Diesel,3.0L,Automatic,"41,401 miles",4,308 bhp,2016 (66),,£199,"£25,200",,,
