,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
2476,MokkaX,Petrol,1.4,Automatic,43230,5,138,2018,37.2,Hatchback,162,WHITE,14500
2477,Astra,Petrol,1.6,Manual,9134,5,197,2018,41.5,Hatchback,147,BLACK,14500
2478,Insignia,Petrol,1.5,Manual,37108,5,163,2019,44.8,Hatchback,129,BLACK,14400
2479,GrandlandX,Diesel,1.6,Manual,48587,5,118,2018,70.6,Hatchback,104,BLUE,14400
2480,Astra,Petrol,1.4,Manual,19158,5,148,2018,51.4,Hatchback,128,WHITE,14400
2481,Astra,Petrol,1.6,Manual,21095,5,197,2018,41.5,Hatchback,147,COSMICGREY,14300
2482,Astra,Petrol,1.6,Manual,12239,5,197,2018,41.5,Hatchback,147,SUMMITWHITE,14250
2483,Astra,Petrol,1.6,Manual,14234,5,197,2018,41.5,Hatchback,147,COSMICGREY,14100
2484,ZafiraTourer,Petrol,1.4,Manual,44181,5,138,2018,41.5,MPV,156,GREEN,14100
2485,Astra,Petrol,1.6,Manual,16124,5,197,2018,41.5,Hatchback,147,MINERALBLACK,14000
2486,Astra,Petrol,1.6,Manual,24786,5,197,2018,41.5,Hatchback,147,GREY,14000
2487,Astra,Diesel,1.6,Manual,21035,5,134,2018,72.4,Hatchback,103,DarkMoonBluePremium,14000
2488,Astra,Petrol,1.6,Manual,9604,5,197,2018,41.5,Hatchback,147,BLACK,14000
2489,Astra,Petrol,1.6,Manual,14648,5,197,2018,41.5,Hatchback,147,BLACK,14000
2490,GrandlandX,Diesel,1.6,Manual,67211,5,118,2018,70.6,Hatchback,104,BLUE,13900
2491,Astra,Petrol,1.6,Manual,16912,5,197,2018,41.5,Hatchback,147,FlipChipSilvermetallic,13700
2492,Insignia,Diesel,1.6,Manual,59686,5,109,2018,55.4,Estate,122,BLUE,13700
2493,MokkaX,Diesel,1.6,Manual,34769,5,134,2017,68.9,Hatchback,106,GREY,13700
2494,GrandlandX,Petrol,1.2,Manual,60764,5,128,2018,44.1,Hatchback,120,RED,13700
2495,Insignia,Diesel,1.6,Manual,61548,5,108,2018,65.7,Estate,112,BLUE,13600
2496,Astra,Petrol,1.6,Manual,24017,5,197,2018,41.5,Hatchback,147,MINERALBLACK,13500
2497,CrosslandX,Petrol,1.2,Manual,19612,5,109,2019,47.1,Hatchback,109,WHITE,13500
2498,Astra,Petrol,1.6,Manual,20420,5,197,2018,41.5,Hatchback,147,BLACK,13500
2499,Astra,Petrol,1.6,Manual,24177,5,197,2018,41.5,Hatchback,147,BLACK,13500
2500,Astra,Petrol,1.6,Manual,24362,5,197,2018,41.5,Hatchback,147,GREY,13500
2501,MokkaX,Petrol,1.4,Automatic,21013,5,138,2017,43.5,Hatchback,149,ORANGE,13500
2502,MokkaX,Petrol,1.4,Manual,31606,5,138,2018,39.2,Hatchback,150,BLACK,13300
2503,MokkaX,Petrol,1.4,Manual,23403,5,138,2019,39.2,Hatchback,147,SILVER,13300
2504,Astra,Petrol,1.4,Automatic,48124,5,148,2018,51.4,Hatchback,127,RED,13200
2505,Astra,Petrol,1.4,Manual,15795,5,148,2018,51.4,Hatchback,128,SILVER,13200
2506,Astra,Petrol,1.6,Manual,20760,5,197,2018,41.5,Hatchback,147,SOVEREIGNSILVER,13100
2507,MokkaX,Petrol,1.4,Manual,14196,5,138,2018,47.1,Hatchback,140,BLUE,13000
2508,Astra,Petrol,1.6,Manual,20176,5,197,2018,41.5,Hatchback,147,WHITE,13000
2509,MokkaX,Petrol,1.4,Manual,23777,5,138,2018,39.2,Hatchback,150,BLUE,13000
2510,Astra,Petrol,1.6,Manual,32590,5,197,2018,41.5,Hatchback,147,SILVER,13000
2511,MokkaX,Petrol,1.4,Manual,34411,5,138,2018,39.2,Hatchback,150,BLACK,12900
2512,Astra,Petrol,1.4,Automatic,49087,5,148,2019,42.8,Hatchback,134,BLACK,12900
2513,Astra,Petrol,1.0,Manual,12792,5,104,2018,50.4,Hatchback,110,GREY,12900
2514,Astra,Petrol,1.4,Manual,30834,5,148,2018,51.4,Hatchback,128,SUMMITWHITE,12700
2515,Corsa,Petrol,1.4,Automatic,22376,5,89,2018,39.8,Hatchback,150,BLUE,12700
2516,MokkaX,Petrol,1.4,Automatic,44242,5,138,2017,43.5,Hatchback,149,RED,12700
2517,Astra,Diesel,1.6,Manual,11387,5,108,2018,78.5,Estate,96,SILVER,12600
2518,Astra,Petrol,1.4,Manual,22792,5,148,2018,51.4,Hatchback,128,GREY,12600
2519,MokkaX,Petrol,1.4,Manual,24109,5,138,2017,47.1,Hatchback,140,WHITE,12600
2520,Astra,Diesel,1.6,Manual,28684,5,108,2018,78.5,Estate,96,SILVER,12600
2521,Astra,Petrol,1.6,Manual,23613,5,197,2018,41.5,Hatchback,147,COSMICGREY,12500
2522,Insignia,Diesel,1.6,Manual,37081,5,109,2018,55.4,Estate,121,BLUE,12500
2523,MokkaX,Petrol,1.4,Manual,13705,5,138,2018,47.1,Hatchback,140,GREY,12500
2524,Astra,Petrol,1.4,Manual,27765,5,148,2017,51.4,Hatchback,128,FlipChipSilvermetallic,12400
2525,Astra,Diesel,1.6,Manual,20693,5,108,2018,78.5,Estate,96,BLUE,12400
2526,Astra,Diesel,1.6,Manual,30739,5,134,2018,58.9,Hatchback,118,MINERALBLACK,12200
2527,Astra,Diesel,1.6,Automatic,58247,5,134,2017,62.8,Hatchback,119,BLACK,12000
2528,CrosslandX,Petrol,1.2,Manual,45726,5,82,2018,44.8,Hatchback,117,BLUE,12000
2529,Astra,Petrol,1.6,Manual,34326,5,197,2018,41.5,Hatchback,147,MINERALBLACK,12000
2530,CrosslandX,Petrol,1.2,Manual,28837,5,82,2018,44.8,Hatchback,117,SILVER,11800
2531,MokkaX,Petrol,1.4,Manual,30703,5,138,2016,47.1,Hatchback,140,BLACK,11800
2532,Insignia,Diesel,1.6,Manual,42676,5,108,2017,70.6,Hatchback,105,BLACK,11750
2533,Astra,Petrol,1.4,Manual,43019,5,136,2018,51.2,Hatchback,128,Black,11700
2534,MokkaX,Petrol,1.4,Manual,49250,5,138,2016,47.1,Hatchback,140,BLACK,11700
