,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
35,Discovery Sport,Diesel,2.0L,Automatic,"61,816 miles",5,178 bhp,2015 (65),53.3,Estate,139 g/km,WHITE,"£24,250"
36,Range Rover Evoque,Diesel,2.0L,Manual,"44,008 miles",5,178 bhp,2015 (65),58.9,Estate,125 g/km,RED,"£24,100"
37,Range Rover Evoque,Diesel,2.0L,Manual,"23,413 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,Santorini Black metallic,"£24,000"
38,Discovery Sport,Diesel,2.0L,Manual,"62,488 miles",5,150 bhp,2018 (18),57.7,Estate,129 g/km,BLACK,"£23,700"
39,Discovery Sport,Diesel,2.2L,Automatic,"49,409 miles",5,190 bhp,2015 (15),44.8,Estate,166 g/km,CORRIS GREY,"£23,600"
40,Discovery Sport,Diesel,2.0L,Manual,"37,489 miles",5,178 bhp,2015 (65),53.3,Estate,139 g/km,SILVER,"£23,450"
41,Range Rover Evoque,Diesel,2.0L,Manual,"34,821 miles",5,178 bhp,2017 (67),58.9,Estate,125 g/km,Carpathian Grey Premium Metallic,"£23,250"
42,Discovery Sport,Diesel,2.0L,Manual,"37,496 miles",5,178 bhp,2017 (17),53.3,Estate,139 g/km,Santorini Black metallic,"£23,000"
43,Discovery Sport,Diesel,2.0L,Automatic,"64,008 miles",5,178 bhp,2016 (16),53.3,Estate,139 g/km,BROWN,"£22,900"
44,Range Rover Evoque,Diesel,2.0L,Manual,"42,479 miles",5,178 bhp,2017 (67),58.9,Estate,125 g/km,BLACK,"£22,700"
45,Range Rover Evoque,Diesel,2.0L,Manual,"40,928 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,BLACK,"£22,600"
46,Range Rover Evoque,Diesel,2.0L,Manual,"41,895 miles",5,178 bhp,2018 (18),58.9,Estate,125 g/km,SILVER,"£22,500"
47,Range Rover Evoque,Diesel,2.0L,Manual,"30,933 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,RED,"£22,500"
48,Range Rover Evoque,Diesel,2.0L,Manual,"54,178 miles",5,178 bhp,2017 (17),58.9,Estate,125 g/km,CORRIS GREY,"£22,400"
49,Range Rover Evoque,Diesel,2.0L,Automatic,"77,824 miles",3,178 bhp,2016 (16),57.7,Coupe,129 g/km,WHITE,"£22,400"
50,Range Rover Evoque,Diesel,2.0L,Manual,"34,813 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,BLACK,"£22,300"
51,Discovery Sport,Diesel,2.0L,Manual,"36,602 miles",5,150 bhp,2015 (65),57.7,Estate,129 g/km,LOIRE BLUE,"£22,200"
52,Range Rover Evoque,Diesel,2.0L,Manual,"34,203 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,WHITE,"£22,000"
53,Range Rover Evoque,Diesel,2.0L,Manual,"39,213 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,Santorini Black metallic,"£22,000"
54,Range Rover Evoque,Diesel,2.0L,Manual,"22,131 miles",5,148 bhp,2016 (66),65.7,Estate,113 g/km,SCOTIA GREY,"£22,000"
55,Discovery Sport,Diesel,2.0L,Automatic,"61,699 miles",5,178 bhp,2015 (65),53.3,Estate,139 g/km,LOIRE BLUE,"£22,000"
56,Range Rover Evoque,Diesel,2.0L,Manual,"28,614 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,WHITE,"£22,000"
57,Discovery Sport,Diesel,2.2L,Automatic,"37,682 miles",5,190 bhp,2015 (15),44.8,Estate,166 g/km,SILVER,"£22,000"
58,Range Rover Evoque,Diesel,2.0L,Automatic,"42,551 miles",5,178 bhp,2016 (16),55.4,Estate,134 g/km,AINTREE GREEN,"£21,800"
59,Range Rover Evoque,Diesel,2.0L,Manual,"39,811 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,Santorini Black metallic,"£21,700"
60,Range Rover Evoque,Diesel,2.0L,Manual,"31,549 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,WHITE,"£21,500"
61,Range Rover Evoque,Diesel,2.0L,Manual,"43,677 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,BLACK,"£21,500"
62,Range Rover Evoque,Diesel,2.0L,Manual,"38,551 miles",5,178 bhp,2016 (66),58.9,Estate,125 g/km,LOIRE BLUE,"£21,500"
63,Range Rover Evoque,Diesel,2.0L,Manual,"21,353 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,SILVER,"£21,500"
64,Range Rover Evoque,Diesel,2.0L,Manual,"39,829 miles",5,178 bhp,2016 (66),58.9,Estate,125 g/km,Santorini Black metallic,"£21,400"
