,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
57,Hatchback,Petrol,1.5L,Manual,"24,894 miles",5,134 bhp,2018 (18),55.4,Hatchback,116 g/km,WHITE,"£13,700"
58,Clubman,Diesel,2.0L,Manual,"49,653 miles",5,148 bhp,2017 (67),68.9,Estate,109 g/km,DEEP BLUE,"£13,500"
59,Hatchback,Petrol,1.5L,Manual,"41,150 miles",5,134 bhp,2018 (18),55.4,Hatchback,116 g/km,WHITE,"£13,300"
60,Hatchback,Petrol,1.5L,Manual,"28,619 miles",5,134 bhp,2018 (18),60.1,Hatchback,109 g/km,BLUE,"£13,000"
61,Hatchback,Petrol,1.5L,Manual,"35,090 miles",3,134 bhp,2018 (18),62.8,Hatchback,105 g/km,GREY,"£12,000"
62,Hatchback,Petrol,1.5L,Manual,"62,918 miles",5,134 bhp,2018 (18),55.4,Hatchback,116 g/km,WHITE,"£11,500"
63,Hatchback,Diesel,1.5L,Manual,"46,982 miles",5,114 bhp,2018 (18),72.4,Hatchback,103 g/km,BLUE,"£11,500"
64,Hatchback,Petrol,1.5L,Automatic,"56,131 miles",3,134 bhp,2014 (64),60.1,Hatchback,109 g/km,RED,"£10,300"
65,Hatchback,Petrol,1.2L,Manual,"25,453 miles",3,101 bhp,2016 (66),61.4,Hatchback,108 g/km,GREY,"£10,300"
66,Countryman,Petrol,1.6L,Manual,"50,787 miles",5,122 bhp,2015 (65),47.1,Hatchback,140 g/km,GREY,"£10,250"
67,Hatchback,Diesel,1.5L,Manual,"68,000 miles",5,114 bhp,2017 (17),78.5,Hatchback,95 g/km,WHITE,"£9,800"
