,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
67,XE,Petrol,2.0L,Automatic,"42,741 miles",4,197 bhp,2016 (16),37.7,Saloon,179 g/km,RED,"£17,400"
68,XE,Diesel,2.0L,Automatic,"55,111 miles",4,177 bhp,2016 (16),67.3,Saloon,111 g/km,BLUE,"£16,800"
69,XE,Diesel,2.0L,Manual,"57,911 miles",4,177 bhp,2017 (67),67.3,Saloon,109 g/km,BLUE,"£16,800"
70,XF,Diesel,2.0L,Manual,"36,717 miles",4,177 bhp,2017 (67),65.7,Saloon,114 g/km,RED,"£16,700"
71,XE,Diesel,2.0L,Automatic,"37,894 miles",4,177 bhp,2015 (15),67.3,Saloon,111 g/km,RED,"£16,500"
72,XE,Diesel,2.0L,Manual,"32,032 miles",4,161 bhp,2017 (67),74.3,Saloon,99 g/km,FUJI WHITE,"£16,500"
73,XF,Diesel,2.0L,Automatic,"81,584 miles",4,177 bhp,2017 (17),65.7,Saloon,114 g/km,BLACK,"£16,500"
74,XE,Petrol,2.0L,Automatic,"43,197 miles",4,197 bhp,2015 (65),37.7,Saloon,179 g/km,SILVER,"£16,100"
75,XE,Diesel,2.0L,Manual,"27,439 miles",4,177 bhp,2016 (16),67.3,Saloon,109 g/km,NARVIK BLACK,"£16,050"
76,XE,Diesel,2.0L,Automatic,"43,045 miles",4,177 bhp,2017 (17),67.3,Saloon,111 g/km,SILVER,"£16,000"
77,XE,Diesel,2.0L,Automatic,"35,791 miles",4,177 bhp,2015 (15),67.3,Saloon,111 g/km,RED,"£16,000"
78,XE,Diesel,2.0L,Automatic,"36,448 miles",4,177 bhp,2016 (16),67.3,Saloon,111 g/km,RED,"£16,000"
79,XE,Diesel,2.0L,Automatic,"60,306 miles",4,177 bhp,2018 (68),67.3,Saloon,109 g/km,BLUE,"£15,600"
80,XE,Diesel,2.0L,Automatic,"37,134 miles",4,161 bhp,2016 (65),68.9,Saloon,106 g/km,SILVER,"£15,600"
81,XE,Diesel,2.0L,Automatic,"63,799 miles",4,177 bhp,2015 (65),67.3,Saloon,111 g/km,BLUE,"£15,500"
82,XF,Diesel,2.0L,Manual,"61,593 miles",4,177 bhp,2017 (67),65.7,Saloon,114 g/km,BLACK,"£15,500"
83,XE,Diesel,2.0L,Automatic,"75,194 miles",4,177 bhp,2016 (66),60.1,Saloon,123 g/km,BLACK,"£15,450"
84,XE,Diesel,2.0L,Automatic,"64,637 miles",4,177 bhp,2016 (16),67.3,Saloon,111 g/km,WHITE,"£15,300"
85,XE,Diesel,2.0L,Automatic,"54,240 miles",4,177 bhp,2015 (65),67.3,Saloon,109 g/km,Firenze Red - metallic,"£14,400"
86,XE,Diesel,2.0L,Manual,"41,223 miles",4,161 bhp,2017 (17),74.3,Saloon,99 g/km,RED,"£14,400"
87,XF,Diesel,2.2L,Automatic,"76,989 miles",5,200 bhp,2014 (64),52.3,Estate,139 g/km,RED,"£13,200"
88,XE,Diesel,2.0L,Manual,"59,844 miles",4,161 bhp,2015 (65),74.3,Saloon,99 g/km,GREY,"£12,000"
