,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
66,Qashqai,Diesel,1.5L,Manual,"31,556 miles",5,108 bhp,2018 (18),74.3,Hatchback,99 g/km,BLACK,"£16,900"
67,Qashqai,Diesel,1.6L,Manual,"32,516 miles",5,128 bhp,2017 (67),64.2,Hatchback,116 g/km,RED,"£16,900"
68,Qashqai,Diesel,1.5L,Manual,"20,898 miles",5,114 bhp,2018 (68),53.3,Hatchback,100 g/km,BLACK,"£16,900"
69,X-Trail,Diesel,1.6L,Manual,"38,939 miles",5,130 bhp,2017 (66),55.4,Estate,133 g/km,BLACK,"£16,800"
70,Qashqai,Petrol,1.2L,Manual,"25,384 miles",5,113 bhp,2018 (18),50.4,Hatchback,129 g/km,BLUE,"£16,800"
71,Qashqai,Petrol,1.2L,Manual,"23,307 miles",5,113 bhp,2018 (18),50.4,Hatchback,129 g/km,BLUE,"£16,700"
72,LEAF,Electric,,Automatic,"49,552 miles",5,148 bhp,2018 (18),1.0,Hatchback,,WHITE,"£16,700"
73,Qashqai,Petrol,1.2L,Manual,"30,161 miles",5,113 bhp,2017 (67),50.4,Hatchback,129 g/km,WHITE,"£16,600"
74,Qashqai,Petrol,1.2L,Manual,"31,811 miles",5,113 bhp,2018 (18),50.4,Hatchback,129 g/km,BLUE,"£16,500"
75,Qashqai,Petrol,1.2L,Manual,"26,842 miles",5,113 bhp,2018 (18),50.4,Hatchback,129 g/km,BLUE,"£16,500"
76,Qashqai,Petrol,1.2L,Manual,"19,951 miles",5,113 bhp,2018 (18),50.4,Hatchback,129 g/km,BLUE,"£16,500"
77,Qashqai,Petrol,1.2L,Manual,"27,377 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,BLUE,"£16,500"
78,Qashqai,Diesel,1.5L,Manual,"47,940 miles",5,108 bhp,2018 (68),74.3,Hatchback,99 g/km,BLUE,"£16,500"
79,Qashqai,Diesel,1.5L,Manual,"44,803 miles",5,114 bhp,2019 (68),52.3,Hatchback,110 g/km,GREY,"£16,300"
80,X-Trail,Diesel,1.6L,Manual,"39,369 miles",5,130 bhp,2017 (66),55.4,Estate,133 g/km,GREEN,"£16,200"
81,Qashqai,Petrol,1.2L,Automatic,"22,664 miles",5,113 bhp,2018 (67),50.4,Hatchback,133 g/km,BLUE,"£16,200"
82,Qashqai,Diesel,1.5L,Manual,"45,660 miles",5,108 bhp,2018 (18),74.3,Hatchback,99 g/km,BLACK,"£16,100"
83,Qashqai,Petrol,1.2L,Manual,"33,567 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,BLACK,"£16,100"
84,Qashqai,Diesel,1.5L,Manual,"44,957 miles",5,114 bhp,2018 (68),52.3,Hatchback,110 g/km,BLACK,"£16,100"
85,Qashqai,Petrol,1.2L,Manual,"49,148 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,RED,"£16,000"
86,Qashqai,Petrol,1.2L,Manual,"12,992 miles",5,113 bhp,2017 (67),50.4,Hatchback,129 g/km,BLACK,"£16,000"
87,Qashqai,Diesel,1.5L,Manual,"46,413 miles",5,108 bhp,2018 (18),74.3,Hatchback,99 g/km,RED,"£16,000"
88,Qashqai,Diesel,1.5L,Manual,"52,220 miles",5,108 bhp,2018 (18),74.3,Hatchback,99 g/km,BLUE,"£16,000"
89,Qashqai,Diesel,1.5L,Manual,"43,125 miles",5,108 bhp,2017 (67),74.3,Hatchback,99 g/km,WHITE,"£16,000"
90,Qashqai,Diesel,1.5L,Manual,"40,923 miles",5,108 bhp,2018 (18),74.3,Hatchback,99 g/km,GREY,"£16,000"
91,X-Trail,Diesel,1.6L,Manual,"52,000 miles",5,130 bhp,2016 (16),52.3,Estate,143 g/km,WHITE,"£15,900"
92,Qashqai,Diesel,1.5L,Manual,"19,152 miles",5,114 bhp,2018 (68),53.3,Hatchback,100 g/km,BLUE,"£15,800"
93,Qashqai,Diesel,1.5L,Manual,"21,963 miles",5,114 bhp,2018 (68),53.3,Hatchback,100 g/km,BLACK,"£15,750"
94,Qashqai,Petrol,1.3L,Manual,"24,305 miles",5,140 bhp,2018 (68),41.5,Hatchback,121 g/km,RED,"£15,700"
95,X-Trail,Diesel,1.6L,Manual,"68,715 miles",5,130 bhp,2016 (66),52.3,Estate,143 g/km,BLACK,"£15,700"
96,X-Trail,Petrol,1.6L,Manual,"28,309 miles",5,163 bhp,2016 (16),45.6,Estate,145 g/km,GREY,"£15,600"
97,Qashqai,Diesel,1.5L,Manual,"26,999 miles",5,108 bhp,2017 (17),74.3,Hatchback,103 g/km,BLUE,"£15,600"
98,Qashqai,Diesel,1.5L,Manual,"22,318 miles",5,108 bhp,2017 (17),74.3,Hatchback,103 g/km,BLUE,"£15,593"
99,Qashqai,Petrol,1.2L,Manual,"62,027 miles",5,113 bhp,2018 (18),50.4,Hatchback,129 g/km,BLACK,"£15,500"
100,Qashqai,Diesel,1.5L,Manual,"28,644 miles",5,108 bhp,2017 (17),74.3,Hatchback,99 g/km,WHITE,"£15,500"
101,Juke,Petrol,1.6L,Automatic,"25,326 miles",5,111 bhp,2018 (68),35.3,Hatchback,149 g/km,BLACK,"£15,500"
102,Micra,Petrol,1.0L,Automatic,"3,905 miles",5,99 bhp,2020 (20),43.5,Hatchback,108 g/km,RED,"£15,500"
103,Qashqai,Diesel,1.5L,Manual,"24,576 miles",5,114 bhp,2018 (68),53.3,Hatchback,100 g/km,BLACK,"£15,400"
104,Qashqai,Petrol,1.2L,Automatic,"46,431 miles",5,113 bhp,2016 (16),50.4,Hatchback,133 g/km,WHITE,"£15,400"
105,Qashqai,Diesel,1.5L,Manual,"52,370 miles",5,108 bhp,2018 (18),74.3,Hatchback,99 g/km,BLACK,"£15,300"
106,Qashqai,Petrol,1.2L,Manual,"22,442 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,BLUE,"£15,200"
