,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
187,Passat,Diesel,1.6L,Manual,"33,572 miles",4,118 bhp,2017 (67),70.6,Saloon,105 g/km,GREY,"£16,000"
188,Polo,Petrol,1.0L,Automatic,"9,822 miles",5,94 bhp,2018 (68),45.6,Hatchback,106 g/km,BLACK,"£16,000"
189,Golf,Diesel,2.0L,Manual,"48,132 miles",5,182 bhp,2015 (65),67.3,Hatchback,109 g/km,GREY,"£16,000"
190,Golf,Petrol,1.5L,Manual,"42,474 miles",5,,2018 (68),,Hatchback,120 g/km,WHITE,"£16,000"
191,Scirocco,Petrol,2.0L,Automatic,"28,049 miles",2,178 bhp,2017 (17),44.1,Coupe,148 g/km,MAUVE/PURPLE,"£16,000"
192,Golf,Petrol,1.4L,Automatic,"14,484 miles",5,121 bhp,2016 (16),53.3,Hatchback,120 g/km,BLUE,"£15,700"
193,Passat,Diesel,2.0L,Automatic,"49,543 miles",4,148 bhp,2018 (18),62.8,Saloon,119 g/km,BLUE,"£15,600"
194,Polo,Petrol,1.0L,Manual,"12,128 miles",5,113 bhp,2018 (68),49.6,Hatchback,107 g/km,Energetic Orange Metallic,"£15,600"
195,Polo,Petrol,1.0L,Manual,"11,959 miles",5,94 bhp,2018 (68),52.3,Hatchback,104 g/km,SILVER,"£15,600"
196,Scirocco,Petrol,1.4L,Manual,"19,420 miles",2,123 bhp,2016 (66),52.3,Coupe,125 g/km,GREY,"£15,600"
197,Polo,Petrol,1.0L,Manual,"8,378 miles",5,113 bhp,2018 (18),60.1,Hatchback,107 g/km,GREY,"£15,500"
198,Golf,Diesel,2.0L,Manual,"51,271 miles",5,182 bhp,2016 (66),67.3,Hatchback,109 g/km,GREY,"£15,500"
199,Golf,Diesel,1.6L,Manual,"19,505 miles",5,114 bhp,2018 (18),61.4,Hatchback,106 g/km,BLUE,"£15,500"
200,Passat,Diesel,1.6L,Manual,"65,104 miles",5,118 bhp,2018 (18),67.3,Estate,110 g/km,ATLANTIC BLUE,"£15,400"
201,Tiguan,Diesel,2.0L,Manual,"48,300 miles",5,148 bhp,2015 (15),53.3,Estate,140 g/km,BEIGE,"£15,400"
202,Passat,Diesel,2.0L,Automatic,"35,347 miles",4,148 bhp,2017 (17),62.8,Saloon,119 g/km,HARVARD BLUE,"£15,400"
203,Scirocco,Petrol,2.0L,Manual,"49,326 miles",2,178 bhp,2016 (16),47.1,Coupe,139 g/km,DEEP BLACK PEARL,"£15,300"
204,Golf,Diesel,1.6L,Manual,"50,085 miles",5,114 bhp,2019 (69),57.7,Hatchback,112 g/km,WHITE,"£15,250"
205,Golf,Petrol,1.4L,Manual,"36,338 miles",5,148 bhp,2016 (66),60.1,Hatchback,109 g/km,WHITE,"£15,200"
206,Golf,Petrol,1.0L,Manual,"30,251 miles",5,109 bhp,2018 (18),58.9,Hatchback,109 g/km,BLACK,"£15,200"
207,Golf,Petrol,1.5L,Manual,"61,319 miles",5,148 bhp,2017 (67),55.4,Hatchback,116 g/km,BLUE,"£15,200"
208,Polo,Petrol,1.0L,Manual,"23,480 miles",5,113 bhp,2018 (18),60.1,Hatchback,107 g/km,SILVER,"£15,100"
209,Polo,Petrol,1.0L,Manual,"26,514 miles",5,94 bhp,2020 (20),51.4,Hatchback,104 g/km,BLUE,"£15,000"
210,Golf,Diesel,1.6L,Manual,"49,354 miles",5,114 bhp,2017 (67),61.4,Hatchback,106 g/km,BLUE,"£15,000"
211,Tiguan,Diesel,2.0L,Automatic,"56,387 miles",5,148 bhp,2015 (65),49.6,Estate,150 g/km,RED,"£14,900"
212,Passat,Diesel,2.0L,Automatic,"43,126 miles",5,148 bhp,2015 (65),60.1,Estate,122 g/km,REFLEX SILVER,"£14,800"
213,Passat,Diesel,2.0L,Manual,"38,018 miles",4,148 bhp,2017 (17),68.9,Saloon,109 g/km,SILVER,"£14,800"
214,Golf,Diesel,2.0L,Manual,"28,465 miles",5,148 bhp,2017 (17),67.3,Hatchback,109 g/km,BLACK,"£14,800"
215,Polo,Petrol,1.0L,Manual,"21,134 miles",5,79 bhp,2020 (69),47.9,Hatchback,110 g/km,SILVER,"£14,750"
216,Golf,Petrol,1.4L,Automatic,"5,242 miles",5,123 bhp,2017 (17),55.4,Hatchback,119 g/km,GREY,"£14,700"
217,Golf,Diesel,2.0L,Automatic,"61,816 miles",5,148 bhp,2018 (67),61.4,Estate,120 g/km,GREY,"£14,500"
218,Polo,Petrol,1.0L,Automatic,"20,014 miles",5,94 bhp,2018 (18),61.4,Hatchback,105 g/km,BLUE,"£14,400"
219,Passat,Diesel,2.0L,Manual,"49,158 miles",4,148 bhp,2018 (18),68.9,Saloon,109 g/km,REFLEX SILVER,"£14,300"
220,Polo,Petrol,1.0L,Manual,"8,281 miles",5,94 bhp,2018 (68),52.3,Hatchback,104 g/km,GREY,"£14,250"
221,Passat,Diesel,1.6L,Manual,"57,791 miles",5,118 bhp,2018 (18),68.9,Estate,107 g/km,RED,"£14,100"
