,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
332,C Class,Petrol,2.0L,Automatic,"32,975 miles",4,184 bhp,2016 (16),51.4,Saloon,127 g/km,SILVER,"£19,500"
333,CLS,Diesel,3.0L,Automatic,"49,854 miles",4,255 bhp,2014 (64),52.3,Coupe,142 g/km,BLACK,"£19,500"
334,A Class,Diesel,2.1L,Automatic,"54,662 miles",5,134 bhp,2016 (66),68.9,Hatchback,108 g/km,WHITE,"£19,500"
335,A Class,Diesel,2.1L,Automatic,"29,732 miles",5,134 bhp,2017 (67),68.9,Hatchback,108 g/km,BLUE,"£19,400"
336,Gla Class,Diesel,2.1L,Manual,"47,717 miles",5,134 bhp,2017 (67),67.3,Estate,110 g/km,WHITE,"£19,400"
337,A Class,Petrol,1.6L,Manual,"16,169 miles",5,102 bhp,2018 (18),51.4,Hatchback,126 g/km,BLACK,"£19,400"
338,C Class,Hybrid Petrol,2.0L,Automatic,"44,377 miles",4,,2017 (17),,Saloon,48 g/km,SILVER,"£19,300"
339,C Class,Diesel,2.1L,Manual,"34,011 miles",4,170 bhp,2018 (18),68.9,Saloon,106 g/km,BLACK,"£19,250"
340,A Class,Petrol,1.6L,Manual,"26,055 miles",5,154 bhp,2017 (17),49.6,Hatchback,134 g/km,WHITE,"£19,200"
341,A Class,Petrol,1.6L,Automatic,"41,328 miles",5,,2016 (66),,Hatchback,126 g/km,Grey,"£19,200"
342,Gla Class,Diesel,2.1L,Automatic,"43,884 miles",5,,2015 (65),,SUV,130 g/km,White,"£19,200"
343,C Class,Petrol,1.6L,Automatic,"60,773 miles",4,154 bhp,2019 (69),38.2,Saloon,145 g/km,BLACK,"£19,100"
344,C Class,Diesel,2.1L,Automatic,"32,298 miles",5,170 bhp,2017 (17),64.2,Estate,114 g/km,BLUE,"£19,100"
345,C Class,Diesel,2.1L,Automatic,"62,229 miles",4,170 bhp,2016 (66),64.2,Saloon,113 g/km,SILVER,"£19,100"
346,C Class,Diesel,2.1L,Automatic,"54,382 miles",4,170 bhp,2018 (18),61.4,Saloon,117 g/km,SILVER,"£19,100"
347,C Class,Diesel,2.1L,Automatic,"38,611 miles",4,170 bhp,2017 (17),61.4,Saloon,117 g/km,SILVER,"£19,100"
348,C Class,Diesel,1.6L,Automatic,"42,494 miles",4,136 bhp,2016 (66),64.2,Saloon,114 g/km,BLACK,"£19,100"
349,A Class,Petrol,1.6L,Automatic,"38,486 miles",5,121 bhp,2018 (67),53.3,Hatchback,124 g/km,WHITE,"£19,000"
350,A Class,Diesel,2.1L,Manual,"20,775 miles",5,,2017 (67),,Hatchback,111 g/km,Grey,"£19,000"
351,C Class,Diesel,2.1L,Automatic,"57,013 miles",4,170 bhp,2017 (17),61.4,Saloon,117 g/km,SILVER,"£19,000"
352,A Class,Diesel,1.5L,Automatic,"27,823 miles",5,114 bhp,2018 (68),68.9,Hatchback,108 g/km,WHITE,"£19,000"
353,A Class,Petrol,1.6L,Manual,"10,746 miles",5,102 bhp,2018 (18),51.4,Hatchback,126 g/km,WHITE,"£19,000"
354,Gla Class,Diesel,2.1L,Manual,"41,173 miles",5,134 bhp,2017 (17),64.2,Estate,115 g/km,WHITE,"£19,000"
355,A Class,Diesel,2.1L,Automatic,"31,320 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,BLUE,"£19,000"
356,C Class,Diesel,2.1L,Automatic,"44,141 miles",4,170 bhp,2017 (67),64.2,Saloon,112 g/km,SILVER,"£19,000"
357,Gla Class,Diesel,2.1L,Manual,"22,689 miles",5,134 bhp,2017 (17),67.3,Estate,110 g/km,RED,"£19,000"
358,Cla Class,Diesel,2.1L,Manual,"23,330 miles",4,134 bhp,2018 (18),67.3,Saloon,109 g/km,RED,"£19,000"
359,C Class,Diesel,2.1L,Automatic,"67,299 miles",5,170 bhp,2016 (16),61.4,Estate,118 g/km,BLACK,"£18,950"
360,A Class,Diesel,2.1L,Automatic,"54,199 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,GREY,"£18,900"
361,Gla Class,Diesel,2.1L,Manual,"36,843 miles",5,134 bhp,2017 (17),67.3,Estate,110 g/km,WHITE,"£18,900"
362,Gla Class,Petrol,1.6L,Manual,"23,920 miles",5,154 bhp,2017 (17),48.7,Estate,134 g/km,WHITE,"£18,900"
363,C Class,Petrol,2.0L,Automatic,"29,010 miles",4,184 bhp,2016 (16),52.3,Saloon,124 g/km,RED,"£18,900"
364,Gla Class,Diesel,2.1L,Automatic,"60,693 miles",5,168 bhp,2015 (65),55.4,Estate,132 g/km,BLACK,"£18,900"
365,C Class,Diesel,2.1L,Automatic,"57,077 miles",4,170 bhp,2017 (66),64.2,Saloon,113 g/km,BLUE,"£18,900"
366,C Class,Diesel,2.1L,Automatic,"47,092 miles",5,170 bhp,2014 (64),61.4,Estate,118 g/km,GREY,"£18,850"
367,Gla Class,Diesel,2.1L,Manual,"58,812 miles",5,134 bhp,2018 (18),67.3,Estate,110 g/km,BLACK,"£18,800"
368,E Class,Diesel,3.0L,Automatic,"30,251 miles",2,255 bhp,2015 (15),50.4,Convertible,146 g/km,BLACK,"£18,800"
369,Cla Class,Diesel,2.1L,Automatic,"38,695 miles",4,174 bhp,2015 (65),67.3,Saloon,109 g/km,WHITE,"£18,800"
370,A Class,Diesel,1.5L,Automatic,"45,032 miles",5,114 bhp,2018 (68),65.7,Hatchback,111 g/km,GREY,"£18,750"
371,A Class,Diesel,2.1L,Automatic,"36,230 miles",5,134 bhp,2018 (18),68.9,Hatchback,108 g/km,WHITE,"£18,750"
372,C Class,Diesel,2.1L,Automatic,"55,145 miles",5,170 bhp,2015 (65),61.4,Estate,118 g/km,BLUE,"£18,700"
373,B Class,Diesel,2.1L,Automatic,"19,724 miles",5,134 bhp,2017 (66),68.9,MPV,106 g/km,SILVER,"£18,700"
374,C Class,Petrol,2.0L,Automatic,"41,978 miles",4,184 bhp,2015 (15),51.4,Saloon,127 g/km,WHITE,"£18,700"
375,A Class,Petrol,1.6L,Manual,"17,772 miles",5,102 bhp,2018 (18),51.4,Hatchback,126 g/km,CIRRUS WHITE,"£18,700"
376,Cla Class,Diesel,2.1L,Automatic,"40,734 miles",4,174 bhp,2016 (66),67.3,Saloon,109 g/km,BLACK,"£18,600"
377,A Class,Diesel,1.5L,Automatic,"53,111 miles",5,107 bhp,2017 (66),74.3,Hatchback,101 g/km,RED,"£18,600"
378,A Class,Petrol,1.6L,Manual,"16,894 miles",5,121 bhp,2017 (66),49.6,Hatchback,134 g/km,GREY,"£18,600"
379,C Class,Diesel,2.1L,Automatic,"24,761 miles",4,170 bhp,2015 (65),64.2,Saloon,110 g/km,SILVER,"£18,550"
380,C Class,Hybrid Petrol,2.0L,Automatic,"62,109 miles",4,,2017 (17),,Saloon,48 g/km,WHITE,"£18,510"
381,C Class,Diesel,2.1L,Manual,"54,392 miles",4,170 bhp,2017 (17),68.9,Saloon,106 g/km,BLUE,"£18,500"
382,A Class,Petrol,1.6L,Manual,"28,534 miles",5,102 bhp,2018 (67),51.4,Hatchback,126 g/km,BLUE,"£18,500"
383,Gla Class,Diesel,2.1L,Automatic,"25,871 miles",5,168 bhp,2015 (15),55.4,Estate,132 g/km,GREY,"£18,500"
384,CLS,Diesel,2.1L,Automatic,"40,133 miles",4,174 bhp,2016 (16),57.7,Coupe,128 g/km,BLACK,"£18,500"
385,CLS,Diesel,2.1L,Automatic,"41,391 miles",4,174 bhp,2016 (16),57.7,Coupe,128 g/km,BLACK,"£18,500"
386,C Class,Diesel,2.1L,Automatic,"38,611 miles",5,204 bhp,2017 (67),62.8,Estate,117 g/km,HYACINTH RED,"£18,500"
387,Gla Class,Diesel,2.1L,Automatic,"49,771 miles",5,168 bhp,2015 (65),55.4,Estate,132 g/km,BLUE,"£18,450"
388,A Class,Diesel,2.1L,Manual,"36,709 miles",5,134 bhp,2017 (17),62.8,Hatchback,116 g/km,GREY,"£18,400"
389,Cla Class,Diesel,2.1L,Manual,"37,659 miles",4,134 bhp,2017 (67),67.3,Saloon,109 g/km,WHITE,"£18,400"
390,A Class,Petrol,1.6L,Manual,"23,276 miles",5,102 bhp,2017 (67),51.4,Hatchback,126 g/km,WHITE,"£18,400"
391,Gla Class,Diesel,2.1L,Manual,"61,859 miles",5,134 bhp,2017 (67),67.3,Estate,110 g/km,WHITE,"£18,400"
392,C Class,Diesel,2.1L,Automatic,"43,808 miles",4,170 bhp,2015 (15),64.2,Saloon,113 g/km,BLUE,"£18,400"
393,C Class,Diesel,2.1L,Automatic,"57,653 miles",5,170 bhp,2015 (15),61.4,Estate,118 g/km,WHITE,"£18,350"
